university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url,clean_degree_type,subject_tag,Value_Tier_Name
Keele University,Education Leadership Management - Online,MA,,2.0,627.0,"Keele, United Kingdom",https://www.study.eu/university/keele-university/education-leadership-management-online,Other,📊 Business & Management,⚪ Unranked/Missing Data
Griffith College,"Education, Learning and Development",MA,,,7394.0,"Dublin, Ireland",https://www.study.eu/university/griffith-college/ma-education-learning-and-development,Other,📚 General/Other,⚪ Unranked/Missing Data
University of East Anglia,"Education (Learning, Pedagogy and Assessment)",MA,19509.0,1.0,349.0,"Norwich, United Kingdom",https://www.study.eu/university/university-of-east-anglia/education-learning-pedagogy-and-assessment,Other,📚 General/Other,🟢 Budget-Friendly
University of Bristol,"Education (Learning, Technology and Society)",MSc,20047.0,1.0,,"Bristol, United Kingdom",https://www.study.eu/university/university-of-bristol/education-learning-technology-and-society,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
University College Dublin (UCD),Education & Lifelong Learning,MLitt,,2.0,199.0,"Dublin, Ireland",https://www.study.eu/university/university-college-dublin-ucd/education-lifelong-learning-dae9fe4a-0ea4-4e2d-888a-b99514d81a3f,Other,📚 General/Other,⚪ Unranked/Missing Data
University College Dublin (UCD),Education & Lifelong Learning,PhD,,3.0,199.0,"Dublin, Ireland",https://www.study.eu/university/university-college-dublin-ucd/education-lifelong-learning-6d41999e-c655-40cd-b84a-b0cf90d12570,Doctorate,📚 General/Other,⚪ Unranked/Missing Data
"Birkbeck, University of London",Education/Lifelong Learning,MPhil,30879.0,2.0,728.0,"London, United Kingdom",https://www.study.eu/university/birkbeck-university-of-london/education-lifelong-learning,Other,📚 General/Other,🟢 Budget-Friendly
University of Derby,Education: Lifelong Learning (pathway),MA,,1.0,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-lifelong-learning-pathway,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Latvia,Education Management,PhD,,3.0,935.0,"Riga, Latvia",https://www.study.eu/university/university-of-latvia/education-management-3430,Doctorate,📊 Business & Management,⚪ Unranked/Missing Data
University of Wales Trinity Saint David,Education Management,MBA,,1.5,2679.0,"Carmarthen, United Kingdom",https://www.study.eu/university/university-of-wales-trinity-saint-david/education-management,Master's,📊 Business & Management,⚪ Unranked/Missing Data
King's College London,Education Management,MA,,1.0,42.0,"London, United Kingdom",https://www.study.eu/university/king-s-college-london/education-management-a020344f-ee06-4b78-8a89-5b2d190578b4,Other,📊 Business & Management,⚪ Unranked/Missing Data
University of Southampton,Education Management and Leadership,MSc,,,523.0,"Southampton, United Kingdom",https://www.study.eu/university/university-of-southampton/msc-education-management-and-leadership,Master's,📊 Business & Management,⚪ Unranked/Missing Data
Aberystwyth University,Education/Mathematics,BSc (Hons),54896.0,3.0,905.0,"Aberystwyth, United Kingdom",https://www.study.eu/university/aberystwyth-university/education-mathematics,Bachelor's,📚 General/Other,🟠 Premium Programs
University of Bristol,Education (Mathematics Education),MSc,20047.0,1.0,,"Bristol, United Kingdom",https://www.study.eu/university/university-of-bristol/education-mathematics-education,Master's,📚 General/Other,⚪ Unranked/Missing Data
University of Bristol,Education (Neuroscience and Education),MSc,20047.0,1.0,,"Bristol, United Kingdom",https://www.study.eu/university/university-of-bristol/education-neuroscience-and-education,Master's,📚 General/Other,⚪ Unranked/Missing Data
University of Southampton,Education Online,MSc,,2.0,523.0,United Kingdom – programme delivered online,https://www.study.eu/university/university-of-southampton/msc-education-online,Master's,📚 General/Other,⚪ Unranked/Missing Data
Keele University,Education - Online,MA,,2.0,627.0,"Keele, United Kingdom",https://www.study.eu/university/keele-university/education-online-c3d3c34e-9574-4142-9eb9-e1cb733d5b02,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Derby,Education (Online),MA,,,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-online,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Sussex,Education (part time),MA,,,269.0,"Brighton, United Kingdom",https://www.study.eu/university/university-of-sussex/ma-education-part-time,Other,🎨 Arts & Humanities,⚪ Unranked/Missing Data
University of Derby,Education (part-time),MA,,,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-part-time,Other,🎨 Arts & Humanities,⚪ Unranked/Missing Data
University of Cyprus,Education Policies for Global Development,Master,,,622.0,"Nicosia, Cyprus",https://www.study.eu/university/university-of-cyprus/master-education-policies-for-global-development,Master's,📚 General/Other,⚪ Unranked/Missing Data
University of Bristol,Education (Policy and International Development),MSc,20047.0,1.0,,"Bristol, United Kingdom",https://www.study.eu/university/university-of-bristol/education-policy-and-international-development,Master's,📚 General/Other,⚪ Unranked/Missing Data
King's College London,"Education, Policy & Society",MA,,1.0,42.0,"London, United Kingdom",https://www.study.eu/university/king-s-college-london/education-policy-society,Other,📚 General/Other,⚪ Unranked/Missing Data
Dublin City University (DCU),Education (Post Primary Education),MEd,,2.0,582.0,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/education-post-primary-education,Other,📚 General/Other,⚪ Unranked/Missing Data
"Birkbeck, University of London","Education, Power and Social Change",MSc,18500.0,1.0,728.0,"London, United Kingdom",https://www.study.eu/university/birkbeck-university-of-london/education-power-and-social-change,Master's,📚 General/Other,🟢 Budget-Friendly
